titre;réalisateur;année de sortie;nationalité;entrées
Camping;F. Onteniente;2006;FR;5475790.0
Astérix et Obélix : mission Cléopâtre;A. Chabat;2002;FR;14405779.0
Les Dix Commandements;C.B. DeMille;1958;US;14237332.0
Harry Potter et le prisonnier d'Azkaban;A. Cuaron;2004;GB;7133482.0
Les Sept Mercenaires;J. Sturges;1961;US;7044202.0
Si Versailles m'était conté;S. Guitry;1954;FR;6987399.0
Le Salaire de la peur;H.G. Clouzot;1953;FR/IT;6949440.0
La Cuisine au beurre;G. Grangier;1963;FR/IT;6397399.0
Merlin l'enchanteur;W. Reitherman;1964;US;6155673.0
Docteur Jivago;D. Lean;1966;US;9817472.0
La Grande Evasion;R. Walsh;1963;US;8755191.0
L'Age de glace 2;C. Saldanha;2006;US;6627706.0
La Chartreuse de Parme;Christian-Jaque;1948;FR;6152446.0
Men in Black;B. Sonnenfeld;1997;US;5759537.0
Moi, moche et méchant 3;K. Balda, P. Coffin, E. Guillon;2017;US;5745658.0
La Vache et le prisonnier;H. Verneuil;1959;FR/IT;8851251.0
Pinocchio;W. Disney;1946;US;7851729.0
Les Aventures de Peter Pan;W. Disney;1953;US;7341765.0
Jurassic Park;S. Spielberg;1993;US;6741086.0
Goldfinger;G. Hamilton;1965;GB;6676536.0
Marche à l'ombre;M. Blanc;1984;FR;6168425.0
Sissi face à son destin;E. Marischka;1958;AT;5794263.0
Indiana Jones et le temple maudit;S. Spielberg;1984;US;5690605.0
Les Indestructibles;B. Bird;2004;US;5501440.0
Ben Hur;W. Wyler;1960;US;13857261.0
Le Petit Monde de Don Camillo;J. Duvivier;1952;IT/FR;12791213.0
Tarzan;C. Buck, K. Lima;1999;US;7822862.0
Star Wars les derniers Jedi;R. Johnson;2017;US;7080049.0
Le Gendarme se marie;J. Girault;1968;FR/IT;6828665.0
Mission spéciale;M. de Canonge;1946;FR;6781120.0
Fanfan la Tulipe;Christian-Jaque;1952;FR/IT;6737449.0
Guerre et Paix;K. Vidor;1956;US;5885820.0
L'Ours;J.J. Annaud;1988;FR;9138466.0
Star Wars : épisode 1 - la menace fantôme;G. Lucas;1999;US;7835365.0
Les Trois Frères;D. Bourdon, B. Campan;1995;FR;6671075.0
Harry Potter et le Prince de sang-mêlé;D. Yates;2009;GB;6135600.0
E.T. l'extra-terrestre;S. Spielberg;1982;US;9718170.0
Le Seigneur des anneaux - les deux tours;P. Jackson;2002;NZ;7110078.0
Robin des bois;W. Reitherman;1974;US;6481451.0
Les Dents de la mer;S. Spielberg;1976;US;6319939.0
Taxi 3;G. Krawczyk;2003;FR;6108669.0
Les Dieux sont tombés sur la tête;J. Uys;1983;ZA;5950061.0
Un Indien dans la ville;H. Palud;1994;FR;7887966.0
La Vérité si je mens 2;T. Gilou;2001;FR;7407958.0
Le Troisième Homme;C. Reed;1949;GB;5740634.0
Le Fabuleux Destin d'Amélie Poulain;J.P. Jeunet;2001;FR/DE;8525425.0
Sixième Sens;M. Night Shyamalan;2000;US;7743389.0
Aladdin;J. Musker;1993;US;7352305.0
La Gloire de mon père;Y. Robert;1990;FR;6297141.0
Le train sifflera trois fois;F. Zinnemann;1952;US;5755526.0
La Grande Vadrouille;G. Oury;1966;FR/GB;17328989.0
Le Jour le plus long;Collectif;1962;US;11930488.0
Le Comte de Monte Cristo;R. Vernay;1955;FR/IT;7780963.0
Danse avec les loups;K. Costner;1991;US;7281593.0
Sissi;E. Marischka;1956;AT;6637836.0
Mulan;T. Bancroft, B. Cook;1998;US;5775821.0
Vaïana, la légende du bout du monde;J. Musker, R. Clements;2016;US;5546100.0
Le Bal des sirènes;G. Sidney;1946;US;5439378.0
